x,y,temperature
-8748477.257665921,4283361.211723314,28.711111111111116
-8748471.320626412,4283369.225565016,28.711111111111116
-8748464.641456963,4283377.697346949,28.711111111111116
-8748457.591222545,4283386.627070177,28.711111111111116
-8748450.355455646,4283396.243703386,28.711111111111116
-8748434.956259418,4283416.392867185,28.41111111111111
-8748426.792830093,4283426.925399472,28.41666666666667
-8748418.62940077,4283437.686910378,28.316666666666666
-8748410.28043896,4283448.448431925,28.316666666666666
-8748402.117009634,4283459.438932999,28.216666666666672
-8748394.324645279,4283470.658414292,28.216666666666672
-8748386.903345894,4283481.877907152,28.216666666666672
-8748380.40970893,4283493.097411576,28.216666666666672
-8748375.029266875,4283504.316927566,28.216666666666672
-8748370.576487245,4283514.162634799,28.216666666666672
-8748366.680305066,4283522.634529549,28.216666666666672
-8748363.526252827,4283528.816727175,28.216666666666672
-8748359.815603133,4283533.854075987,28.01666666666667
-8748354.620693563,4283537.517603859,28.01666666666667
-8748348.498121569,4283538.8914271295,28.116666666666667
-8748342.190017091,4283538.8914271295,28.116666666666667
-8748335.510847645,4283536.83069229,28.01666666666667
-8748328.275080742,4283534.312016904,28.01666666666667
-8748320.853781356,4283530.64849011,27.716666666666665
-8748304.897987677,4283521.489678521,27.716666666666665
-8748296.363493381,4283515.078514995,27.716666666666665
-8748286.901336664,4283507.751475589,27.722222222222225
-8748277.624712432,4283499.737531887,27.722222222222225
-8748247.753982402,4283461.270684257,27.422222222222224
-8748241.631410409,4283451.196056154,27.422222222222224
-8748237.735228231,4283438.602784138,27.522222222222226
-8748234.024578538,4283425.093653994,27.522222222222226
-8748231.798188722,4283412.271444283,27.522222222222226
-8748229.386266422,4283399.2202820545,27.522222222222226
-8748226.97434412,4283387.0850049,27.422222222222224
-8748224.93348679,4283375.1787083885,27.422222222222224
-8748222.89262946,4283362.585524329,27.422222222222224
-8748220.666239642,4283350.450288022,27.422222222222224
-8748217.697719889,4283338.5440315865,27.422222222222224
-8748213.244940257,4283326.408822084,27.422222222222224
-8748208.23556317,4283314.731557788,27.322222222222226
-8748202.112991178,4283302.825340427,27.322222222222226
-8748194.135094337,4283291.148101435,27.322222222222226
-8748185.229535073,4283279.928805183,27.322222222222226
-8748175.210780902,4283269.396415145,27.227777777777778
-8748164.82096176,4283259.0929999715,27.227777777777778
-8748154.245610135,4283249.01855901,27.027777777777782
-8748143.484726025,4283238.486198882,27.027777777777782
-8748132.723841915,4283227.953848948,27.127777777777776
-8748111.944203634,4283206.20228895,27.127777777777776
-8748102.667579401,4283195.212043588,26.927777777777777
-8748094.318617592,4283183.992846225,26.927777777777777
-8748087.639448144,4283171.857809037,27.127777777777776
-8748082.444538575,4283157.891084868,27.127777777777776
-8748076.32196658,4283129.499766392,27.127777777777776
-8748069.642797133,4283071.114626462,27.227777777777778
-8748068.158537256,4283056.461150309,27.327777777777776
-8748066.488744894,4283041.578733786,27.327777777777776
-8748064.262355078,4283027.1542571895,27.127777777777776
-8748061.479367808,4283011.813961783,27.127777777777776
-8748057.9542506,4282998.076402157,27.333333333333332
-8748053.130406,4282983.880942092,27.333333333333332
-8748047.378898975,4282969.914459129,27.43333333333333
-8748038.658872195,4282956.634868995,27.43333333333333
-8748027.897988087,4282944.958001404,27.533333333333335
-8748016.394974036,4282933.739061987,27.533333333333335
-8748004.149830049,4282922.520134132,27.633333333333333
-8747992.461283516,4282911.072260488,27.633333333333333
-8747981.143801952,4282899.624398883,27.633333333333333
-8747969.455255417,4282887.4896787265,27.633333333333333
-8747957.5811764,4282876.041841924,27.733333333333334
-8747945.521564897,4282865.05192992,27.733333333333334
