x,y,temperature
-9654226.995777998,4309837.274001799,30.444444444444443
-9652249.776089026,4308797.572134443,30.555555555555557
-9652243.282452064,4308802.3917142525,30.555555555555557
-9653503.975685297,4310021.355236345,31.666666666666668
-9653261.670260336,4310096.870762268,31.61111111111111
-9653261.670260336,4310096.870762268,31.61111111111111
-9653221.038646195,4310090.443888504,31.666666666666668
-9653216.40033408,4310089.525763992,31.666666666666668
-9652213.782787003,4310322.502354245,30.333333333333332
-9652213.226189548,4310333.061017906,30.333333333333332
-9652212.669592094,4310343.619691857,30.333333333333332
-9652212.48405961,4310354.407912831,30.333333333333332
-9652214.339384457,4310389.068014619,30.444444444444443
-9652215.638111848,4310401.003969383,30.444444444444443
-9654957.99376754,4315722.306836324,32.22222222222222
-9654939.99711653,4315721.847535227,32.22222222222222
-9654899.922099845,4315722.536486879,32.111111111111114
-9654891.75867052,4315722.766137441,32.111111111111114
-9654801.960947946,4316680.451358756,30.5
-9654803.259675339,4316688.030500685,30.5
-9654803.630740307,4316696.528332802,30.5
-9654803.445207823,4316705.944857263,30.5
-9654800.662220553,4316752.79793007,30.5
-9654799.920090614,4316766.118938788,30.61111111111111
-9654798.806895707,4316779.439963908,30.61111111111111
-9658135.608632235,4317047.241982153,30.666666666666668
-9658150.265698522,4317050.9168415405,30.666666666666668
-9658164.551699841,4317055.969775235,30.666666666666668
-9658178.83770116,4317061.711748206,30.666666666666668
-9658192.75263751,4317068.142761551,30.88888888888889
-9658206.110976404,4317075.492495769,30.88888888888889
-9658219.654847784,4317083.301593846,31.0
-9658233.013186678,4317091.570056777,31.0
-9658246.557058059,4317100.068205818,31.11111111111111
-9658260.286461923,4317108.79604151,31.11111111111111
-9658274.015865788,4317117.523884243,30.88888888888889
-9658287.374204684,4317126.940775085,30.88888888888889
-9658300.547011094,4317136.817035264,30.88888888888889
-9658313.53428502,4317146.693304457,30.88888888888889
-9658336.911378086,4317169.431725938,31.0
-9658348.414392136,4317181.145476866,31.0
-9658359.731873699,4317192.170195205,31.0
-9658371.605952717,4317202.735560821,31.0
-9658383.851096705,4317212.382208004,31.0
-9658383.851096705,4317212.382208004,31.0
-9658410.938839464,4317228.230289903,31.11111111111111
-9658425.410373267,4317234.661402223,31.11111111111111
-9658440.995101977,4317239.255056218,31.11111111111111
-9658457.321960626,4317242.700297996,31.11111111111111
-9658474.019884245,4317244.767443592,31.11111111111111
-9658490.903340349,4317245.456492209,31.11111111111111
-9658507.60126397,4317244.537760726,31.166666666666668
-9658524.299187588,4317241.781566748,31.166666666666668
-9658540.626046237,4317237.417594386,31.0
-9658555.83970998,4317232.594258559,31.0
-9658570.682308752,4317226.622512421,31.22222222222222
-9658584.968310071,4317219.04299322,31.22222222222222
-9658598.88324642,4317211.004115024,30.61111111111111
-9658612.427117798,4317202.505878852,30.61111111111111
-9658625.414391726,4317194.2373311445,30.61111111111111
-9658637.47400323,4317187.117197906,30.61111111111111
-9658708.904009819,4317143.477773962,30.72222222222222
-9658713.356789453,4317142.329370446,30.72222222222222
-9658719.850426415,4317138.884160629,31.0
-9658725.045335986,4317134.749910294,31.333333333333332
-9658729.498115618,4317127.859496582,31.333333333333332
-9658732.466635372,4317118.901965317,31.22222222222222
-9658734.87855767,4317109.025721492,31.22222222222222
-9658736.733882518,4317098.001087869,31.22222222222222
-9658738.218142398,4317086.287426954,31.22222222222222
-9658739.702402273,4317073.425382516,31.11111111111111
-9658741.372194635,4317060.333674415,31.11111111111111
-9658743.041986996,4317046.782624817,31.0
-9658744.897311842,4317033.231592191,31.0
-9658747.309234144,4317018.532186161,31.11111111111111
-9658749.721156444,4317002.914089132,31.11111111111111
-9658752.318611229,4316986.606982469,31.0
-9658756.956923347,4316954.681872972,31.0
-9658759.368845647,4316938.374838999,31.0
-9658759.368845647,4316938.374838999,31.0
-9658763.636092793,4316904.612466494,31.11111111111111
-9658765.676950125,4316887.38680682,31.11111111111111
-9658767.717807457,4316870.161174569,31.22222222222222
-9658769.944197271,4316852.93556974,31.22222222222222
-9658769.944197271,4316852.93556974,30.944444444444443
-9658774.58250939,4316817.336073326,30.944444444444443
